Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage
alphaics Corporation,,"Bengaluru, Karnataka, India","Cloud Computing, Computer, Semiconductor",Advancing AI compute,,,—,Seed
MyDentistChoice,,"Hyderabad, Andhra Pradesh, India","Health Care, Medical, Pharmaceutical",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,,,500000,Seed
Sattviko,,"New Delhi, Delhi, India","Food Processing, Retail",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,,,—,Angel
Sensibull,,"Bangalore, Karnataka, India",Trading Platform,Investment Management Platform,,,"?25,000,000",Seed
Bombay Shaving Company,,"New Delhi, Delhi, India","Consumer Goods, Lifestyle, Men's",Bombay Shaving Company is a Men's grooming startup,,,—,Series A
MedCords,,"Pune, Maharashtra, India",Wellness,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,,,"?26,400,000",Seed
University Living,,"New Delhi, Delhi, India",Education,University Living is an online global student housing marketplace.,,,—,Seed
&ME,,"Bangalore, Karnataka, India","Food and Beverage, Food Processing, Nutrition",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,,,—,Seed
Enakshi,,"Ahmedabad, Gujarat, India",Fashion,Enakshi is an online apparel brand for women.,,,"?8,000,000",Seed
Ultraviolette Automotive,,"Bangalore, Karnataka, India","Automotive, Electric Vehicle, Energy Storage",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,,,"?60,000",Series A
Inthree Access,,"Chennai, Tamil Nadu, India","Consulting, Retail, Social",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,,,4000000,Series A
BUGWORKS Research India,,"Bangalore, Karnataka, India","Biotechnology, Life Science, Pharmaceutical, Product Research",BUGWORKS is a drug discovery company.,,,9000000,Series A
Guardian.in,,"Mumbai, Maharashtra, India",Health Care,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,,,—,Seed
PrestLoans,,"New Delhi, Delhi, India","Credit, Financial Services, FinTech, Personal Finance","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",,,100000,Seed
Wimoxez,,"Hyderabad, Andhra Pradesh, India",Internet,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",,,20000,Seed
India Accelerator,,"Gurgaon, Haryana, India","Communities, Coworking, Incubators",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,,,—,Angel
HappyEMI,,"Bangalore, Karnataka, India","Consumer, Financial Services, FinTech",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,,,1000000,Seed
Wishup,,"Azadpur, Delhi, India","Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Premium Personal Assistance service,,,—,Seed
Hansel.io,,"Bangalore, Karnataka, India","Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",,,4000000,Series A
Propelld,,"Bengaluru, Karnataka, India","Education, Financial Services, FinTech",Propelld is a student education financing platform.,,,250000,Seed
PivotRoots,,"Mumbai, Maharashtra, India","Advertising, Consulting, Digital Marketing",Digital Marketing powered by Data & Technology; fueled by Design thinking,,,—,Series A
