Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage
ERUDITUS Executive Education,,"Mumbai, Maharashtra, India","Continuing Education, EdTech, Education, Skill Assessment","Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",,,"$40,000,000 ",Series C
Gaia Smart Cities,,"Mumbai, Maharashtra, India","Smart Cities, Telecommunications",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,,,—,Seed
Square Off,,"Mumbai, Maharashtra, India","Internet of Things, Robotics",Delivering Imagination,,,"$1,100,000 ",Seed
UrbanClap,,"Delhi, Delhi, India","Apps, Home Services, Information Services, Information Technology",UrbanClap is India's leading managed marketplace for home services.,,,"$50,000,000 ",Series D
Hospals,,"New Delhi, Delhi, India","Medical, Tourism",Hospals is a medical tourism company.,,,"$1,500,000 ",Seed
Kogta Financial India Limited,,"Jaipur, Rajasthan, India",Financial Services,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,,,"?1,540,000,000",Series B
Perspectico,,"New Delhi, Delhi, India","Career Planning, Education, Internet",An Education Management startup.,,,—,Seed
The Souled Store,,"Mumbai, Maharashtra, India","Fashion, Graphic Design, Wearables","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",,,"$3,000,000 ",Venture - Series Unknown
Hush - Speak Up. Make Work Better,,"Bangalore, Karnataka, India","Communities, Leisure, Mobile Apps, Software",Enabling diversity of opinions in organizations,,,"?45,000,000",Seed
Drivezy,,"Bengaluru, Karnataka, India","Automotive, Rental, Sharing Economy",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,,,"$100,000,000 ",Debt Financing
Freyr Energy,,"Hyderabad, Andhra Pradesh, India","Energy, Environmental Consulting, Renewable Energy, Solar","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",,,"$1,500,000 ",Series A
NIRAMAI Health Analytix,,"Bangalore, Karnataka, India","Health Care, Hospital",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,,,"$6,000,000 ",Seed
CloudSek,,"Bengaluru, Karnataka, India","Information Technology, SaaS, Security",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,,,"?140,000,000",Seed
Lendbox,,"Delhi, Delhi, India","Crowdfunding, Financial Services, Internet",Lendbox is India's leading peer-to-peer lending online lending platform.,,,"?60,000,000",Seed
Verloop,,"Bangalore, Karnataka, India","Customer Service, Information Technology, Internet, Sales Automation",Verloop is an automated customer support and engagement platform.,,,"$3,000,000 ",Series A
Flickstree,,"Mumbai, Maharashtra, India","Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming","Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",,,—,Seed
Paymatrix,,"Hyderabad, Andhra Pradesh, India","Credit Cards, Payments, Property Insurance, Property Management, Rental Property",India's Leading Property Rent management platform,,,"$100,000 ",Seed
Idha Skin Clinic,,"Bangalore City, Karnataka, India","Beauty, Cosmetics, Health Care, Service Industry",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,,,"?5,000,000",Seed
InCred,,"Mumbai, Maharashtra, India","Banking, Finance, Financial Services",InCred Finance is a mumbai-based non-banking financial company,,,"$41,900,000 ",Private Equity
Vedantu,,"Bangalore, Karnataka, India","EdTech, Education, Mobile, Tutoring",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,,,"$11,000,000 ",Series B
Sportido,,"Noida, Uttar Pradesh, India","Social Media, Sports",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,,,—,Seed
Stelis Biopharma,,"Bangalore, Karnataka, India",Biopharma,Stelis Biopharma is a vertically integrated biopharmaceutical company,,,"$100,000,000 ",Series B
Magicpin,,"Gurgaon, Haryana, India","E-Commerce, E-Commerce Platforms, Retail","Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",,,"?1,410,000,000",Series C
Try & Buy,,"New Delhi, Delhi, India","E-Commerce, Fashion, Shopping",Try & Buy,,,—,Seed
Mech Mocha,,"Bangalore, Karnataka, India","Digital Entertainment, Mobile, PC Games",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,,,"$3,530,000 ",Series B
Aye Finance,,"Gurgaon, Haryana, India","Finance, Financial Services, Small and Medium Businesses",Aye Finance provides financial services to micro and small businesses in Northern India.,,,"?72,000,000",Debt Financing
Aldopay,,"Chennai, Tamil Nadu, India",Mobile Payments,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,,,"$200,000 ",Seed
Detect Technologies,,"Chennai, Tamil Nadu, India","Artificial Intelligence, Energy, Oil and Gas",Completely automated remote control system.,,,"$3,300,000 ",Series A
Signzy,,"Bangalore, Karnataka, India","Computer, FinTech, Risk Management, Software",Signzy are creating 'building blocks for a Digital Trust system.,,,"?240,000,000",Series A
CashRich,,"Mumbai, Maharashtra, India","Apps, Financial Services, FinTech",A Mumbai-based fin-tech startup,,,"$1,000,000 ",Seed
Cloudnine Hospitals,,"Bangalore, Karnataka, India","Child Care, Health Care, Hospital, Medical, Women's",Cloudnine is an Indian chain of women and child care hospitals.,,,—,Private Equity
CropIn Technologies,,"Bengaluru, Karnataka, India","Agriculture, Mobile","To discover, develop and deliver innovative solution in Agtech Space",,,"?580,000,000",Series B
Billdesk,,"Ahmedabad, Gujarat, India","Finance, FinTech, Payments, Property Development, Rental","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",,,—,Venture - Series Unknown
Yaantra,,"Delhi, Delhi, India","Information Services, Information Technology, Mobile, Software","Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",,,"$2,000,000 ",Debt Financing
TECHBOOZE,,"New Delhi, Delhi, India",Education,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",,,"$100,000 ",Seed
HealthifyMe,,"Bangalore, Karnataka, India","Apps, Fitness, Health Care, mHealth",HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,,,"$6,000,000 ",Series B
hoi foods,,"Gurgaon, Haryana, India","Food and Beverage, Food Delivery",India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,,,"?36,000,000",Seed
Perpule,,"Bangalore, Karnataka, India","Apps, Payments, Retail",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,,,"?340,000,000",Series A
Royal Sundaram General Insurance Co. Limited,,"Kalpakkam, Tamil Nadu, India","Health Insurance, Insurance, Life Insurance","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",,,"$210,000,000 ",Corporate Round
CleanseCar,,"Bangalore, Karnataka, India",Automotive,CleanseCar is a company provides Washing and Repair Services.,,,"?35,000,000",Angel
DRIVEU,,"Bengaluru, Karnataka, India","Rental, Taxi Service, Travel",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,,,"?70,000,000",Venture - Series Unknown
Spinny,,"Gurgaon, Haryana, India","E-Commerce, E-Commerce Platforms, Internet, Retail",Used cars marketplace in India. Ushering new era of transparency and convenience.,,,"$11,000,000 ",Series A
Asset Reconstruction Company (India) Ltd.,,"Mumbai, Maharashtra, India","Financial Services, Professional Services",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,,,—,Secondary Market
Med365 Healthcare,,"Jaipur, Rajasthan, India",Health Diagnostics,"Wellness, Specialised Testing, Healthcare at Home",,,"?50,000,000",Seed
Dunzo,,"Bangalore, Karnataka, India","Customer Service, Messaging, Mobile Apps, Personalization",Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,,,"?70,000,000",Debt Financing
Mobile Premier League (MPL),,"Bengaluru, Karnataka, India","Gaming, iOS, Sports",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,,,"$5,000,000 ",Series A
WalMart India,,"Gurgaon, Haryana, India",Retail,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",,,"$37,680,000 ",Venture - Series Unknown
Cred,,"Bengaluru, Karnataka, India",—,Cred is a platform to celebrate and reward the most creditworthy people of India.,,,—,Seed
Meesho,,"Bangalore, Karnataka, India","E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media","Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",,,"$50,000,000 ",Series C
BhaskarGuru,,"Bhopal, Madhya Pradesh, India",Search Engine,Bhaskarguru.com is your local search Engine,,,"$1,000,000 ",Seed
Gugu,,"Coimbatore, Tamil Nadu, India","Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,,,"$250,000 ",Seed
FarmTaaza,,"Bengaluru, Karnataka, India","Agriculture, Farmers Market, Farming",Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,,,—,Series A
Vizzbee,,"Bhopal, Madhya Pradesh, India","Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Autonomous Drone Solutions for last mile delivery as well as search and rescue,,,"$20,000 ",Pre-Seed
BIGPHI TECHNOLOGIES PVT. LTD.,,"Bangalore, Karnataka, India",Fashion,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,,,"$900,000 ",Angel
Mobycy,,"Gurgaon, Haryana, India","Fitness, GreenTech, Internet of Things, Mobile Apps, Ride Sharing, Transportation",India's 1st Dockless Bicycle Sharing App,,,—,Angel
Traveo Soft Pvt. Ltd.,,"Bangalore, Karnataka, India","Mobile, Software, Travel",AI based Business Travel & Expense management,,,"?1,200,000",Undisclosed
Em Personal Care,,"Worli, Maharashtra, India",Cosmetics,Em Personal Care is a Cosmetic products manufacturing Company.,,,—,Seed
Lucideus,,"New Delhi, Delhi, India","Consulting, Cyber Security, Network Security","Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",,,5000000,Venture - Series Unknown
Eupheus Learning,,"Delhi, Delhi, India","E-Learning, EdTech, Education",Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,,,—,Seed
GamingMonk,,"New Delhi, Delhi, India","eSports, Gaming, Video Games","GamingMonk is an eSports gaming company based out of New Delhi, India.",,,"?40,000,000",Series A
Sukkhi Jewellery,,"Mumbai, Maharashtra, India","Fashion, Jewelry",Sukkhi Jewellery is a Contemporary fashion jewellery brand.,,,"?510,000,000",Venture - Series Unknown
INDwealth,,"Gurgaon, Haryana, India",Financial Services,INDwealth is an Artificial Intelligence (AI) powered wealth management company,,,"?2,200,000,000",Seed
Medikabazaar,,"Mumbai, Maharashtra, India","B2B, Medical Device",India's largest medical and surgical supplies marketplace,,,5000000,Series A
NIRA,,"Bangalore, Karnataka, India","Credit, Financial Services, FinTech, Lending","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",,,1000000,Seed
Duroflex Pvt. Ltd.,,"Alleppey, Kerala, India","Consumer Goods, Manufacturing",Duroflex Pvt. Ltd. operates as a dominant mattress player.,,,22000000,Private Equity
Clensta,,"New Delhi, Delhi, India","Biotechnology, Health Care, Wellness",A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,,,—,Seed
Jetbrain Robotics,,"Gurgaon, Haryana, India","Health Care, Hospital, Medical, Robotics","Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",,,70000,Seed
Medimetry,,"Haryana, Haryana, India",Health Care,"MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",,,—,Seed
Healthkart,,"Gurgaon, Haryana, India","E-Commerce, Fitness, Health Care","The one stop shop for health, fitness & beauty.",,,10000000,Venture - Series Unknown
Indiabulls Ventures,,"Mumbai, Maharashtra, India","Financial Services, Venture Capital",Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,,,"?15,392,000,000",Post-IPO Equity
Vistara,,"Haryana, Haryana, India",Aerospace,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),,,"?20,000,000,000",Private Equity
ClearTax,,"New Delhi, Delhi, India","Accounting, Apps, FinTech",ClearTax India helps individuals prepare and e-file their Income Tax Return online.,,,"?4,000,000,000",Series B
Shuttl,,"Gurgaon, Haryana, India","Apps, Mobile, Transportation","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",,,1000000,Debt Financing
GuruQ,,"New Delhi, Delhi, India",Reading Apps,A one of its kind digital integrated platform connecting tutors and students.,,,"?25,000,000",Seed
Azure Power,,"New Delhi, Delhi, India","Energy, Renewable Energy, Solar","Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",,,185000000,Post-IPO Equity
Cube,,"Mumbai, Maharashtra, India","Banking, Financial Services, FinTech",Cube is consumer banking focused fintech company.,,,"?140,000,000",Series A
RAHI Care,,"Chandigarh, Chandigarh, India","Health Care, Hospital",RAHI Care is a Health Care company.,,,—,Venture - Series Unknown
Mynvax,,"Bangalore, Karnataka, India",Biotechnology,Mynvax is a biotech Company.,,,—,Angel
Loans4SME,,"Mumbai, Maharashtra, India",Financial Services,Loans4SME is an alternative lending platform.,,,—,Seed
UpCyclersLab,,"Mumbai, Maharashtra, India","Apps, Education, Retail",UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,,,—,Seed
Cellerite Systems,,"Hyderabad, Andhra Pradesh, India",Electric Vehicle,Cellerite Systems is a charging solutions provider for electric vehicles.,,,—,Seed
Taru Naturals,,"Mumbai, Maharashtra, India","Agriculture, Farming",Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,,,—,Seed
LetsMD,,"New Delhi, Delhi, India","Fitness, Health Care, Wellness",LetsMD.com is a marketplace for elective surgeries,,,1000000,Seed
Twenty Two Motors,,"Haryana, Haryana, India","Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,,,65000000,Corporate Round
Truebil,,"Mumbai, Maharashtra, India","Automotive, E-Commerce, Marketplace","Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",,,2000000,Series A
FarmersFZ,,"Kochi, Kerala, India",Agriculture,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,,,—,Seed
Worxogo,,"Bangalore, Karnataka, India",Information Technology,worxogo’s is a pioneering persuasive technology products align employee behaviours .,,,"?165,000,000",Series A
Vivish Technologies (myGate),,"Bengaluru, Karnataka, India","Apps, Information Services, Information Technology",India's leading mobile based security management solution .,,,"?650,000,000",Series A
Singularity Dynamics,,"Bengaluru, Karnataka, India",Artificial Intelligence,Singularity Dynamics is a Chip-design testing startup.,,,—,Seed
Virtual MetalStreet(MetalStreet),,"Bengaluru, Karnataka, India","B2B, Marketplace",Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,,,700000,Angel
Veritas Finance,,"Guindy, Tamil Nadu, India",Financial Services,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,,,30000000,Venture - Series Unknown
Manjushree Technopack,,"Bangalore, Karnataka, India",Packaging Services,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,,,—,Private Equity
GoZefo,,"Bangalore, Karnataka, India","Computer, Furniture, Software",Startup working on a white space in the eCommerce industry.,,,"?210,000,000",Venture - Series Unknown
Zomato,,"Gurgaon, Haryana, India","Food Delivery, Hospitality, Reservations, Restaurants, Search Engine",Zomato is a search app offering detailed information for restaurants as well as online food delivery.,,,210000000,Secondary Market
Innov8 Coworking,,"New Delhi, Delhi, India","Collaboration, Communities, Coworking, Real Estate",Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,,,4000000,Seed
RevFin,,"Delhi, Delhi, India","Accounting, Banking, Finance",RevFin is a digital lending company.,,,—,Seed
Lavelle Networks,,"Bengaluru, Karnataka, India","Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,,,"?20,000,000",Venture - Series Unknown
Blackbuck,,"Bengaluru, Karnataka, India","Information Services, Internet, Logistics, Supply Chain Management, Transportation",Blackbuck is a logistics startup based in India.,,,"?2,029,600,000",Series D
Cardekho,,"Gurgaon, Haryana, India","Automotive, E-Commerce, Information Services",Cardekho is a car search venture that helps users buy cars that are right for them.,,,75000000,Series C
ElasticRun,,"Pune, Maharashtra, India","Delivery, Logistics, Transportation",ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,,,"?600,000,000",Series B
Droom Technology Private Limited,,"Gurgaon, Haryana, India","Automotive, E-Commerce Platforms, Marketplace",Droom is a marketplace for automobiles and automobile services.,,,30000000,Series E
Vogo Rentals,,"Kormangala, Karnataka, India","Last Mile Transportation, Railroad, Transportation, Travel",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,,,"?80,000,000",Debt Financing
InnerChef,,"Gurgaon, Haryana, India","Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,,,1760000,Venture - Series Unknown
LivQuik,,"Mumbai, Maharashtra, India","FinTech, Mobile, Mobile Payments, Payments, Retail Technology",LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,,,2700000,Corporate Round
Disprz,,"Chennai, Tamil Nadu, India","E-Learning, Education","Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",,,400000,Debt Financing
9stacks,,"Delhi, Delhi, India","Online Games, Software",Online gaming startup.,,,"?280,000,000",Series A
Origo,,"Gurgaon, Haryana, India",—,"Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",,,"?800,000,000",Venture - Series Unknown
YourOwnROOM,,"Bangalore, Karnataka, India","Online Portals, Property Management, Rental","Good quality, strategically located homes closer to work for millennials",,,750000,Seed
Vahdam Teas,,"New Delhi, Delhi, India","E-Commerce, Food and Beverage, Tea",Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,,,2500000,Series B
Spoofin,,"New Delhi, Delhi, India","Music, Social Network, Video",A social networking app that lets you create and view Spoofs of your favourite videos.,,,—,Venture - Series Unknown
Strom Motors,,"Mumbai, Maharashtra, India",Automotive,Strom Motors is a smart urban mobility Company.,,,—,Angel
PharmEasy,,"Mumbai, Maharashtra, India","Health Care, Pharmaceutical, Wellness",PharmEasy - Indias largest healthcare delivery platform,,,80000000,Series C
Licious,,"Bengaluru, Karnataka, India","Delivery Service, Food and Beverage, Food Delivery","Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",,,25000000,Series C
Stanza Living,,"New Delhi, Delhi, India","Hospitality, Information Technology, Travel Accommodations",Stanza Living is a co-living platform created for students moving to a new place.,,,"?730,000,000",Venture - Series Unknown
docturnal,,"Hyderabad, Andhra Pradesh, India","Biotechnology, Diabetes, Health Care","Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",,,—,Seed
Bounce (Metro Bikes),,"Bangalore, Karnataka, India","Autonomous Vehicles, Last Mile Transportation, Recreational Vehicles, Rental","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",,,3000000,Debt Financing
Technology 9 Labs (T9L),,"New Delhi, Delhi, India",Information Technology,Technology 9 Labs is an Information Technology and Services company.,,,—,Corporate Round
Goals101,,"Delhi, Delhi, India",Financial Services,Goals101 is a one of the fastest growing big-data platforms.,,,3500000,Seed
Satya MicroCapital,,"New Delhi, Delhi, India","Finance, Financial Exchanges, Financial Services, Micro Lending",New Delhi-based non-banking financial company.,,,"?400,000,000",Venture - Series Unknown
Ummeed Housing Finance Private Limited,,"Haryana, Haryana, India","Finance, Financial Services",Ummeed Housing Finance Private Limited,,,"?600,000,000",Series C
StockEdge,,"Kolkata, West Bengal, India","Analytics, Apps, Market Research","StockEdge is a unique platform, which is 100% focused on research and analytics",,,1100000,Seed
Sequretek,,"Mumbai, Maharashtra, India",—,Sequretek is a cyber security start-up.,,,3700000,Venture - Series Unknown
Avenues Payments India Pvt. Ltd.,,"Mumbai, Maharashtra, India",—,Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.,,,1300000,Corporate Round
Qbera,,"Bangalore, Karnataka, India","Finance, Financial Services",Qbera is a managed marketplace for unsecured personal loans.,,,"?140,000,000",Venture - Series Unknown
Urban Ladder,,"Bangalore, Karnataka, India","E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet",Urban Ladder is a Bangalore-based online furniture company.,,,5600000,Debt Financing
Planet11 eCommerce Solutions India (Avenue11),,"Bengaluru, Karnataka, India",—,"Planet11 is backed by SK Planet, which is a part of the SK Group – one of the largest conglomerates in South Korea.",,,"?260,000,000",Corporate Round
DailyNinja,,"Bengaluru, Karnataka, India","Apps, Mobile, Mobile Apps, Software","Daily Ninja, a mobile app that delivers daily needs on a subscription model",,,—,Series A
Iba Halal Care,,"Ahmedabad, Gujarat, India",—,Iba Halal Care is a cosmetics brand company.,,,"?150,000,000",Series A
Knocksense,,"Lucknow, Uttar Pradesh, India","News, Publishing, Social Media",Knocksense is a fast growing lifestyle website.,,,—,Seed
Togedr,,"Gurgaon, Haryana, India",—,Togedr is an activity discovery & booking platform.,,,—,Venture - Series Unknown
Parkwheels,,"Haryana, Haryana, India","Industrial, Industrial Automation","Parkwheels aims at solving the big, bad & unsexy parking problems of India.",,,"?12,000,000",Seed
ShareChat,,"Bangalore, Karnataka, India","Internet, Mobile Apps, Social Network",ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,,,99230000,Series C
Cyclops Medtech,,"Bangalore, Karnataka, India","Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,,,1000000,Seed
Livspace,,"Bangalore, Karnataka, India","E-Commerce, Furniture, Interior Design","Livspace is the new online shopping destination where you can design, decorate and furnish your dream home.",,,70000000,Series C
NewsBytes,,"Gurgaon, Haryana, India","Apps, Events, News",NewsBytes provides your everyday news in a contextual timeline to reduce information overload.,,,1000000,Seed
Leena AI,,"Gurgaon, Haryana, India","Artificial Intelligence, Human Resources, Information Services, Information Technology",Leena is smart AI powered HR companion dedicated towards engaging employees.,,,2000000,Seed
Max Healthcare,,"New Delhi, Delhi, India","Health Care, Hospital, Supply Chain Management",Max Healthcare is one of the leading chain of hospitals in India.,,,—,Corporate Round
GoBolt,,"New Delhi, Delhi, India","Logistics, Railroad, Transportation",Delhi-based logistics technology.,,,"?400,000,000",Venture - Series Unknown
GoGaga,,"Bangalore City, Karnataka, India","Dating, Private Social Networking",GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches.,,,40000,Non-equity Assistance
Mate Labs,,"Bangalore, Karnataka, India","Artificial Intelligence, Machine Learning, PaaS",Mate Labs is a machine learning solutions platform for beginners.,,,550000,Seed
Furlenco,,"Bangalore, Karnataka, India","Consumer, Furniture, Home Decor, Home Improvement",Furlenco is a Bangalore-based company that offers a home furniture subscription program.,,,—,Series C
Ola,,"Kormangala, Karnataka, India","Apps, E-Commerce, Internet, Mobile, Ride Sharing, Transportation",Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hassle-free in India.,,,50000000,Venture - Series Unknown
DocPrime,,"Haryana, Haryana, India","Health Care, Health Insurance",DocPrime offers a one-stop healthcare solution right at the comfort of patients' homes.,,,50000000,Funding Round
CLP India Pvt. Ltd.,,"Mumbai, Maharashtra, India","Energy, Natural Resources",CLP India Pvt. Ltd. is a foreign investor in the Indian power sector.,,,365000000,Private Equity
Xplorabox,,"Noida, Uttar Pradesh, India","E-Commerce, Education, Health Care",Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,,,—,Seed
Myra,,"Bangalore, Karnataka, India","Apps, Health Care, Pharmaceutical",Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,,,"?8,750,000",Venture - Series Unknown
Vokal,,"Bengaluru, Karnataka, India","Internet, Knowledge Management",India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,,,1500000,Series A
Kissht,,"Mumbai, Maharashtra, India","Credit, Finance, FinTech, Lending, Sales Automation","Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",,,30000000,Series C
Upwards Fintech,,"Mumbai, Maharashtra, India","Banking, Financial Services, Internet",Upwards Fintech financial company.,,,5000000,Series A
Bon(Bonfleet Solutions),,"Pune, Maharashtra, India","Financial Services, FinTech","Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",,,"?78,000,000",Seed
Mamaearth,,"Gurgaon, Haryana, India","E-Commerce, Health Care, Retail",Mamaearth is an online retailer specializing in baby and toddler products.,,,4000000,Series A
BabyChakra,,"Mumbai, Maharashtra, India","Child Care, Information Technology",BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,,,—,Series B
Belstar Investment and Finance Private Limited,,"Chennai, Tamil Nadu, India","Financial Services, Micro Lending",Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,,,28000000,Venture - Series Unknown
Naaptol,,"Mumbai, Maharashtra, India","E-Commerce, Retail, Shopping","Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",,,15000000,Venture - Series Unknown
Moonshine Meadery,,"Pune, Maharashtra, India",Food and Beverage,Moonshine Meadery is a first craft meadery.,,,—,Seed
Verzeo,,"Bangalore, Karnataka, India",E-Learning,Verzeo is anAI-focussed edtech startup.,,,5000000,Series A
Haazri,,"Mumbai, Maharashtra, India","Food and Beverage, Snack Food, Tea",Haazri is a tea and snack quick service restaurant startup,,,"?12,500,000",Seed
Connect India,,"New Delhi, Delhi, India","Delivery Service, E-Commerce, Logistics","To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",,,—,Angel
Flyrobe,,"Mumbai, Maharashtra, India","Fashion, Lifestyle, Rental",Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,,,"?264,000,000",Series B
Scholify,,"Bengaluru, Karnataka, India",—,Edutech,,,—,Pre-Seed
Dream11,,"Mumbai, Maharashtra, India","Fantasy Sports, Mobile, Sports","Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",,,100000000,Series D
srJna,,"Jaipur, Rajasthan, India",Education,"SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",,,—,Seed
Nykaa,,"Mumbai, Maharashtra, India","Beauty, Fashion, Wellness",Nykaa.com is a premier online beauty and wellness destination,,,"?1,130,000,000",Secondary Market
Chaayos,,"New Delhi, Delhi, India","Food and Beverage, Restaurants, Tea",Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,,,"?810,000,000",Series B
Heelium,,"Pune, Maharashtra, India","Fitness, Sporting Goods, Sports",Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,,,—,Seed
LT Foods,,"New Delhi, Delhi, India","Food and Beverage, Food Processing, Manufacturing",LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,,,"?1,400,000,000",Post-IPO Equity
Multibashi,,"Bengaluru, Karnataka, India","E-Learning, Internet",Free language learning platform.,,,"?10,000,000",Seed
Cleardekho,,"Ghaziabad, Uttar Pradesh, India","Eyewear, Internet",Uttar Pradesh based online eyewear marketplace.,,,—,Venture - Series Unknown
